Datetime,January,February,March,April,May,June,July,August,September,October,November,December,day,Sunday,Monday,Thuesday,Wednesday,Thursday,Friday,Saturday,Volume,Open,High,Low,Close
2010-05-31 13:20:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,442,91.158,91.198,91.032,91.126
2010-05-31 13:30:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,366,91.122,91.174,91.080,91.106
2010-05-31 13:40:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,80,91.104,91.124,91.086,91.124
2010-05-31 13:50:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,40,91.122,91.128,91.068,91.124
2010-05-31 14:00:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,72,91.122,91.188,91.100,91.188
2010-05-31 14:10:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,205,91.186,91.206,91.054,91.100
2010-05-31 14:20:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,271,91.098,91.102,91.024,91.056
2010-05-31 14:30:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,127,91.058,91.064,90.985,91.028
2010-05-31 14:40:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,127,91.031,91.040,90.992,91.004
2010-05-31 14:50:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,162,91.008,91.079,91.008,91.067
2010-05-31 15:00:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,66,91.063,91.088,91.041,91.088
2010-05-31 15:10:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,64,91.090,91.095,91.056,91.073
2010-05-31 15:20:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,31,91.071,91.094,91.059,91.089
2010-05-31 15:30:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,83,91.087,91.090,91.037,91.090
2010-05-31 15:40:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,67,91.088,91.136,91.067,91.126
2010-05-31 15:50:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,106,91.130,91.153,91.081,91.101
2010-05-31 16:00:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,93,91.103,91.202,91.103,91.185
2010-05-31 16:10:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,142,91.183,91.346,91.156,91.279
2010-05-31 16:20:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,104,91.281,91.321,91.185,91.185
2010-05-31 16:30:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,44,91.187,91.251,91.187,91.215
2010-05-31 16:40:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,155,91.218,91.266,91.209,91.212
2010-05-31 16:50:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,96,91.214,91.266,91.197,91.266
2010-05-31 17:10:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,60,91.225,91.270,91.201,91.219
2010-05-31 17:20:00,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,6,91.221,91.224,91.219,91.219
