Datetime,hour_range,day,Volume,Open,High,Low,Close
2020-07-01 15:00,15,1,4369,107.524,107.533,107.425,107.512
2020-07-01 16:00,16,1,2829,107.514,107.556,107.423,107.423
2020-07-01 17:00,17,1,1872,107.424,107.476,107.409,107.467
2020-07-01 18:00,18,1,1686,107.462,107.492,107.434,107.484
2020-07-01 19:00,19,1,1311,107.486,107.504,107.445,107.472
2020-07-01 20:00,20,1,494,107.474,107.489,107.443,107.463
2020-07-01 21:00,21,1,276,107.469,107.504,107.449,107.456
2020-07-01 22:00,22,1,596,107.462,107.473,107.414,107.453
2020-07-01 23:00,23,1,790,107.451,107.454,107.337,107.373
2020-07-02 00:00,0,2,2813,107.372,107.486,107.334,107.474
2020-07-02 01:00,1,2,2432,107.473,107.490,107.418,107.472
2020-07-02 02:00,2,2,1926,107.474,107.558,107.450,107.544
2020-07-02 03:00,3,2,1575,107.546,107.554,107.464,107.468
2020-07-02 04:00,4,2,1574,107.466,107.470,107.418,107.434
2020-07-02 05:00,5,2,1321,107.432,107.464,107.426,107.463
2020-07-02 06:00,6,2,1983,107.462,107.508,107.448,107.508
2020-07-02 07:00,7,2,3021,107.509,107.554,107.468,107.480
2020-07-02 08:00,8,2,2880,107.482,107.486,107.349,107.374
2020-07-02 09:00,9,2,2020,107.372,107.450,107.346,107.442
2020-07-02 10:00,10,2,1782,107.442,107.503,107.409,107.502
2020-07-02 11:00,11,2,2050,107.502,107.524,107.439,107.452
2020-07-02 12:00,12,2,4961,107.451,107.637,107.404,107.630
2020-07-02 13:00,13,2,5581,107.628,107.726,107.532,107.550
2020-07-02 14:00,14,2,6156,107.548,107.638,107.452,107.622
2020-07-02 15:00,15,2,3304,107.621,107.622,107.517,107.544
2020-07-02 16:00,16,2,1837,107.546,107.599,107.534,107.584
2020-07-02 17:00,17,2,1476,107.586,107.592,107.540,107.562
2020-07-02 18:00,18,2,1203,107.560,107.580,107.552,107.558
2020-07-02 19:00,19,2,777,107.560,107.560,107.528,107.540
2020-07-02 20:00,20,2,370,107.541,107.550,107.480,107.502
2020-07-02 21:00,21,2,1997,107.516,107.559,107.490,107.527
